Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"Honest Tea, Half and Half",CASE (12  1 Each),1.0,1.0,15.52,15.52
"Honest Tea, Honey Green",CASE (12  1 Each),3.0,3.0,15.52,46.56
"Huberts, Blackberry",CASE (12  1 Each),4.0,4.0,20.6,82.4
"Huberts, Strawberry",CASE (12  1 Each),4.0,4.0,20.6,82.4
Core Power Chocolate,CASE (12  1 Each),3.0,3.0,29.65,88.95
Core Power Strawberry Banana,CASE (12  1 Each),3.0,3.0,29.65,88.95
Core Power Vanilla,CASE (12  1 Each),3.0,3.0,29.65,88.95
"Dasani, 20oz",CASE (24  1 Each),6.0,6.0,14.47,86.82
"Dasani, 8pk -12 OZ(3 per case)",CASE (3  8 Each),6.0,6.0,12.26,73.56
"Dasani, Berry 8pk -12 OZ(3 per case)",CASE (3  8 Each),2.0,2.0,9.57,19.14
"Dasani, Lime 8pk -12 OZ(3 per case)",CASE (3  8 Each),3.0,3.0,9.57,28.71
"Smart Water, 1 Liter",CASE (12  1 Each),12.0,12.0,17.31,207.72
"Smart Water, 1.5Liter",CASE (12  1 Each),2.0,2.0,22.73,45.46
"Smart Water, 24oz sport cap",CASE (24  1 Each),6.0,6.0,27.05,162.3
"Energy, 16oz Monster, Ultra Sunrise",CASE (24  1 Each),1.0,1.0,39.98,39.98
"Minute Maid, Cranberry Grape",CASE (24  1 Each),1.0,1.0,24.51,24.51
"Minute Maid, Tomato Blend",CASE (24  1 Each),1.0,1.0,24.51,24.51
"Powerade Zero, Fruit Punch 20oz",CASE (24  1 Each),1.0,1.0,23.03,23.03
"20 Ounce, Fanta Zero Orange",CASE (24  1 Each),1.0,1.0,20.33,20.33
"Honest Tea, Lemon Grove Maple",CASE (12  1 Each),3.0,3.0,17.5,52.5
"Honest Tea, Morrocan Mint green",CASE (12  1 Each),3.0,3.0,17.5,52.5
"Honest Tea, Peach OoLaLong",CASE (12  1 Each),3.0,3.0,17.5,52.5
"Dunkin Donuts Coffee, French Vanilla",CASE (12  1 Each),1.0,1.0,24.72,24.72
"Dunkin Donuts Coffee, Orig",CASE (12  1 Each),4.0,4.0,24.72,98.88
14Z Yup Chocolate,CASE (12  14.16 Ounces),3.0,3.0,17.51,52.53
14Z Yup Lowfat,CASE (12  12 Ounces),1.0,1.0,17.51,17.51
14Z Yup Strawberry,CASE (12  14.16 Ounces),1.0,1.0,17.51,17.51
"Energy, 16oz Monster, Ultra Blue",CASE (24  1 Each),1.0,1.0,39.98,39.98
"Energy, 16oz Monster, Ultra Red",CASE (24  1 Each),1.0,1.0,39.98,39.98
"Energy, 16oz Monster, Ultra Sunrise",CASE (24  1 Each),1.0,1.0,39.98,39.98
"Energy, 16oz Monster, Ultra White",CASE (24  1 Each),1.0,1.0,39.98,39.98
"Energy, 16oz. Monster, Original (green)",CASE (24  1 Each),1.0,1.0,39.98,39.98
"20 Ounce, Orange Vanilla Coke",CASE (24  1 Each),1.0,1.0,20.33,20.33
"Powerade Fruit Punch, 20oz",CASE (24  1 Each),1.0,1.0,23.03,23.03
"Powerade Lemon Lime, 20oz",CASE (24  1 Each),2.0,2.0,23.03,46.06
Powerade Mountain Blast 20oz,CASE (24  1 Each),1.0,1.0,23.03,23.03
Powerade Orange 20oz,CASE (24  1 Each),1.0,1.0,23.03,23.03
"Powerade Zero, Fruit Punch 20oz",CASE (24  1 Each),1.0,1.0,23.03,23.03
"Powerade, 28oz Fruit Punch",CASE (15  1 Each),1.0,1.0,22.13,22.13
"Powerade, 28oz Melon",CASE (15  1 Each),1.0,1.0,22.13,22.13
"Powerade, 28oz Mountain Berry Blast",CASE (15  1 Each),4.0,4.0,22.13,88.52
"Powerade, 28oz Zero Grape",CASE (15  1 Each),1.0,1.0,22.13,22.13
"Powerade, 32oz White Cherry",CASE (15  1 Each),1.0,1.0,22.13,22.13
"Vitamin Water, 20z energy",CASE (12  1 Each),2.0,2.0,12.99,25.98
"Vitamin Water, 20z essential",CASE (12  1 Each),2.0,2.0,12.99,25.98
"Vitamin Water, 20z focus",CASE (12  1 Each),2.0,2.0,12.99,25.98
"Vitamin Water, 20z Power C",CASE (12  1 Each),3.0,3.0,12.99,38.97
"Vitamin Water, 20z XXX",CASE (12  1 Each),3.0,3.0,12.99,38.97
"Vitamin Water, 20z Zero Rise",CASE (12  1 Each),1.0,1.0,12.99,12.99
"Vitamin Water, 20z Zero Sqez",CASE (12  1 Each),4.0,4.0,12.99,51.96
"Vitamin Water, 20z Zero XXX",CASE (12  1 Each),3.0,3.0,12.99,38.97
"1.25 Liter, Coke",CASE (12  1 Liter),3.0,3.0,16.48,49.44
"1.25 Liter, Diet Coke",CASE (12  1 Liter),1.0,1.0,16.48,16.48
"1.25 Liter, Sprite",CASE (12  1 Liter),3.0,3.0,16.48,49.44
"20 Ounce, Cherry Coke",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 ounce, Coke Classic",CASE (24  1 Each),3.0,3.0,20.33,60.99
"20 Ounce, Coke Zero",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 ounce, Diet Coke",CASE (24  1 Each),2.0,2.0,20.33,40.66
"20 Ounce, Fanta Grape",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 Ounce, Fanta Pineapple",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 ounce, Lemonade",CASE (24  1 Each),3.0,3.0,20.33,60.99
"20 Ounce, Root Beer",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 Ounce, Seagrams Gingerale",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 ounce, Sprite",CASE (24  1 Each),2.0,2.0,20.33,40.66
"20 ounce, Sprite Zero",CASE (24  1 Each),1.0,1.0,20.33,20.33
"20 Ounce, Vanilla Coke",CASE (24  1 Each),1.0,1.0,20.33,20.33
"Frdg Pk, Coke Classic",CASE (2  1 Each),2.0,2.0,9.57,19.14
"Frdg Pk, Coke Zero",CASE (2  1 Each),1.0,1.0,9.57,9.57
"Frdg Pk, Diet Coke",CASE (2  1 Each),3.0,3.0,9.57,28.71
