Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"Starbucks, Double Shot Mocha Energy",CASE (12  1 Each),2.0,2.0,27.0,54.0
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),4.0,4.0,24.0,96.0
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Nitro, Black",CASE (12  1 Each),5.0,5.0,28.0,140.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),1.0,1.0,28.0,28.0
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),3.0,3.0,28.0,84.0
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),2.0,2.0,23.94,47.88
"Starbucks, Triple Shot, French Vanilla",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Bang, Black Cherry Vanilla",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Bang, Sour Heads",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Bang, Star Blast",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1.0,1.0,19.57,19.57
"Mountain Dew, Game Fuel Original",CASE (12  1 Each),2.0,2.0,19.57,39.14
"Mountain Dew, Kick Start Fruit Punch",CASE (12  1 Each),1.0,1.0,12.0,12.0
"Mountain Dew, Kick Start Pinapple Orange Mango",CASE (12  1 Each),1.0,1.0,12.0,12.0
"Mountain Dew, Kick Start, Orange",CASE (12  1 Each),1.0,1.0,12.0,12.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Green Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Kale Blazer",Case (8  1 Each),2.0,2.0,21.2,42.4
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Orange Carrot",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Straw Banana",Case (8  1 Each),2.0,2.0,18.24,36.48
"Tropicana 12oz, Apple Juice",CASE (12  1 Each),3.0,3.0,15.48,46.44
