Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
Evol SSRV Mac&Cheese Truffle,Case (8  1 Each),1.0,1.0,31.68,31.68
TALENTI layers CHOC CHER,Case (8  1 Each),1.0,1.0,40.16,40.16
TALENTI layers SALTED CAR,Case (8  1 Each),1.0,1.0,40.16,40.16
TALENTI layers VAN Fudge,Case (8  1 Each),1.0,1.0,40.16,40.16
"Odwalla, C Monster 450mL",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Mango Tango",Case (8  1 Each),2.0,2.0,18.4,36.8
"Odwalla, Mo' Beta",Case (8  1 Each),2.0,2.0,18.4,36.8
"Odwalla, Protein Monster Chocolate",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Vanilla",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Strawberry C Monster",Case (8  1 Each),2.0,2.0,18.4,36.8
"Odwalla, Superfood",Case (8  1 Each),2.0,2.0,18.4,36.8
"Simply, 52z Lemonade",CASE (6  1 Each),2.0,2.0,16.8,33.6
"Simply, 52z Orange Juice",CASE (6  1 Each),2.0,2.0,22.62,45.24
"Simply, 52z Rasp Lemonade",CASE (6  1 Each),2.0,2.0,16.8,33.6
"Ben n Jerry's Pint, Cherry Garcia Ice Cream",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Chocolate Fudge Brownie",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Cinnamon Bun",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Coffee Buzz Buzz",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Cookie Dough/Chocolate",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Core, Peanut Butter Fudge",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Half Baked Ice Cream",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Mint Chocolate Cookie",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Phish Food",Case (8  1 Each),1.0,1.0,31.6,31.6
