"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost",  ,
"Vitamin Water, 20z energy",CASE (24  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z essential",CASE (24  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z focus",CASE (24  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z Power C",CASE (24  1 Each),1,1,12.99,12.99,,
,,,,,,,
"20 ounce, Coke Classic",CASE (24  1 Each),1,1,20.33,20.33,,
"20 Ounce, Coke Zero",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Diet Coke",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Lemonade",CASE (24  1 Each),1,1,20.33,20.33,,
"20 Ounce, Pibb Xtra",CASE (24  1 Each),1,1,20.33,20.33,,
"20 Ounce, Root Beer",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Sprite",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Sprite Zero",CASE (24  1 Each),,1,,0.00,,
"Frdg Pk, Coke Classic",CASE (2  1 Each),2,2,9.57,19.14,,
"Frdg Pk, Coke Zero",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Diet Coke",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Fanta Grape",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Pibb Extra",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Seagrams Gingerale",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Sprite",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Sprite Zero",CASE (2  1 Each),1,1,9.57,9.57,,
"Honest Tea, Half and Half",CASE (12  1 Each),1,1,15.52,15.52,,
"Honest Tea, Honey Green",CASE (12  1 Each),2,2,15.52,31.04,,
"Huberts, Blackberry",CASE (12  1 Each),1,1,20.60,20.60,,
"Huberts, Original",CASE (12  1 Each),1,1,20.60,20.60,,
"Huberts, Strawberry",CASE (12  1 Each),1,1,20.60,20.60,,
,,,,,,,
Core Power Chocolate,CASE (12  1 Each),1,1,29.65,29.65,,
Core Power Strawberry Banana,CASE (12  1 Each),1,1,29.65,29.65,,
Core Power Vanilla,CASE (12  1 Each),1,1,29.65,29.65,,
"Dasani, 20oz",CASE (24  1 Each),3,3,14.47,43.41,,
"Dasani, Liter",CASE (12  1 Liter),3,3,19.49,58.47,,
"Smart Water, 1 Liter",CASE (12  1 Each),4,4,17.31,69.24,,
"Smart Water, 1.5Liter",CASE (12  1 Each),4,4,22.73,90.92,,
"Smart Water, 24oz sport cap",CASE (24  1 Each),4,4,27.05,108.20,,
14Z Yup Chocolate,CASE (12  14.16 Ounces),1,1,17.51,17.51,,
,,,,,,,
"Energy, 16oz Monster, Ultra Red",CASE (24  1 Each),1,1,39.98,39.98,,
,,,,,,,
"20 Ounce, Orange Vanilla Coke",CASE (24  1 Each),1,1,20.33,20.33,,
"Minute Maid, Apple Juice",CASE (24  1 Each),1,1,24.51,24.51,,
"Minute Maid, Cranapple Raspberry",CASE (24  1 Each),1,1,24.51,24.51,,
"Powerade Fruit Punch, 20oz",CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade, 28oz Fruit Punch",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Grape",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Mountain Berry Blast",CASE (15  1 Each),2,2,22.13,44.26,,
"Powerade, 32oz White Cherry",CASE (15  1 Each),1,1,22.13,22.13,,
"Vitamin Water, 20z Power C",CASE (24  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z Zero XXX",CASE (24  1 Each),1,1,12.99,12.99,,
,,,,,,,
"1.25 Liter, Coke",CASE (12  1 Liter),1,1,16.48,16.48,,
"1.25 Liter, Diet Coke",CASE (12  1 Liter),1,1,16.48,16.48,,
"1.25 Liter, Sprite",CASE (12  1 Liter),1,1,16.48,16.48,,
"20 ounce, Cherry Coke Zero",CASE (24  1 Each),1,1,20.33,20.33,,
"20 Ounce, Coke Zero",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Diet Coke",CASE (24  1 Each),1,1,20.33,20.33,,
"Frdg Pk, Coke Classic",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Sprite",CASE (2  1 Each),1,1,9.57,9.57,,
,,,,,,,
"Gold Peak, Green Tea",CASE (12  1 Each),1,1,15.71,15.71,,
"Gold Peak, Raspberry Tea",CASE (12  1 Each),1,1,15.71,15.71,,
"Gold Peak, Sweetened Tea",CASE (12  1 Each),1,1,15.71,15.71,,
,,,,,,,
"Dasani, 20oz",CASE (24  1 Each),4,4,14.47,57.88,,
